name,price,kilometers_driven,fuel_type,transmission_type,location,car_type,model,mileage
"2012 Hyundai Verna 1.6 SX CRDi (O)",425000,80000,Diesel,Manual,Chennai,Sedan,2012,27
"2022 Mercedes-Benz E-Class Exclusive E 220d BSVI",5900000,21000,Diesel,Automatic,Chennai,Sedan,2022,14
"2021 Mercedes-Benz E-Class Exclusive E 220d BSVI",5200000,54000,Diesel,Automatic,Chennai,Sedan,2021,8
"2017 Honda City i VTEC CVT SV",800000,45001,Petrol,Automatic,Chennai,Sedan,2017,16
"2015 Honda City i VTEC CVT SV",615000,90000,Petrol,Automatic,Chennai,Sedan,2015,24
"2022 Hyundai Verna S Plus",999000,11000,Petrol,Manual,Chennai,Sedan,2022,16
"2014 Hyundai Xcent 1.2 Kappa S",366000,22017,Petrol,Manual,Chennai,Sedan,2014,27
"2015 Honda Amaze VX i-Vtech",451000,39907,Petrol,Manual,Chennai,Sedan,2015,29
N/A,NULL,0,Unknown,Unknown,Chennai,Sedan,N/A,10
"2017 Honda City i VTEC CVT VX",800000,70000,Petrol,Automatic,Chennai,Sedan,2017,31
"2020 Mercedes-Benz AMG C 63 Coupe",3500000,53000,Petrol,Automatic,Chennai,Sedan,2020,18
"2017 Maruti Swift Dzire AMT ZXI BS IV",695000,54000,Petrol,Automatic,Chennai,Sedan,2017,14
"2023 Hyundai Aura S CNG",771000,17986,CNG,Manual,Chennai,Sedan,2023,10
"2023 Hyundai Verna SX IVT",1410000,20000,Petrol,Automatic,Chennai,Sedan,2023,29
"2022 Mercedes-Benz EQS 580 4Matic",9200000,4700,Electric,Automatic,Chennai,Sedan,2022,30
"2016 Hyundai Xcent 1.2 Kappa S",419000,48677,Petrol,Manual,Chennai,Sedan,2016,9
"2022 Hyundai Verna SX Opt Turbo",1290000,25000,Petrol,Automatic,Chennai,Sedan,2022,24
"2018 Volkswagen Vento 1.5 TDI Comfortline",760000,80000,Diesel,Manual,Chennai,Sedan,2018,10
"2016 Mercedes-Benz S-Class S 350 d",5200000,33000,Diesel,Automatic,Chennai,Sedan,2016,23
"2020 Honda Amaze S Petrol",660000,43607,Petrol,Manual,Chennai,Sedan,2020,30
"2020 Volkswagen Vento 1.0 TSI Highline",785000,63000,Petrol,Manual,Chennai,Sedan,2020,21
"2020 Volkswagen Vento 1.0 TSI Highline",785000,63000,Petrol,Manual,Chennai,Sedan,2020,10
"2007 Honda Civic 1.8 (E) MT",375000,61000,Petrol,Manual,Chennai,Sedan,2007,7
"2019 Tata Tigor XZ Plus",471000,51789,Petrol,Manual,Chennai,Sedan,2019,23
"2018 Ford Aspire 1.5 Ti-VCT Titanium",490000,48593,Petrol,Automatic,Chennai,Sedan,2018,10
"2023 Hyundai Verna SX IVT Opt",1585000,17000,Petrol,Automatic,Chennai,Sedan,2023,27
"2023 Hyundai Verna SX IVT",1450000,11000,Petrol,Automatic,Chennai,Sedan,2023,25
"2019 Hyundai Xcent 1.2 VTVT S",560000,44259,Petrol,Manual,Chennai,Sedan,2019,9
"2017 Honda City i DTec E",935000,70459,Diesel,Manual,Chennai,Sedan,2017,15
"2018 BMW 3 Series 320d",3000000,52000,Diesel,Automatic,Chennai,Sedan,2018,18
"2020 Honda City V CVT",1035000,50155,Petrol,Automatic,Chennai,Sedan,2020,11
"2018 Honda City VX MT",825000,54000,Petrol,Manual,Chennai,Sedan,2018,20
"2018 Tata Tigor XZ Plus",441000,81026,Petrol,Manual,Chennai,Sedan,2018,12
"2021 Tata Tigor XZ Plus BSVI",580000,42931,Petrol,Manual,Chennai,Sedan,2021,18
"2018 Skoda Superb LK 1.8 TSI AT",1900000,60000,Petrol,Automatic,Chennai,Sedan,2018,24
"2020 Tata Tigor XZ BSVI",455000,68000,Petrol,Manual,Chennai,Sedan,2020,8
"2015 Maruti Swift Dzire VXI",412000,98685,Petrol,Manual,Chennai,Sedan,2015,11
"2014 Mercedes-Benz E-Class E250 CDI",2250000,70000,Diesel,Automatic,Chennai,Sedan,2014,27
"2019 Hyundai Xcent 1.2 VTVT S",441000,94881,Petrol,Manual,Chennai,Sedan,2019,19
"2015 Volvo S60 D4 Momentum BSIV",2350000,53000,Diesel,Automatic,Chennai,Sedan,2015,9
"2022 Maruti Swift Dzire ZXI AT BSVI",673000,45639,Petrol,Automatic,Chennai,Sedan,2022,31
"2022 BMW 3 Series Gran Limousine 320Ld Luxury Line",4500000,30000,Diesel,Automatic,Chennai,Sedan,2022,20
"2015 Honda Amaze S Petrol",409999,96616,Petrol,Manual,Chennai,Sedan,2015,27
"2022 Toyota Camry 2.5 Hybrid BSVI",3500000,35005,Petrol,Automatic,Chennai,Sedan,2022,20
"2018 Maruti Swift Dzire ZXI Plus",655000,62404,Petrol,Manual,Chennai,Sedan,2018,9
"2016 Skoda Superb Style 1.8 TSI AT",1400000,99000,Petrol,Automatic,Chennai,Sedan,2016,31
"2020 Honda City V MT",919999,42972,Petrol,Manual,Chennai,Sedan,2020,19
"2021 Honda Amaze VX Petrol",660000,64857,Petrol,Manual,Chennai,Sedan,2021,22
"2019 Skoda Rapid 1.6 MPI Ambition BSIV",685000,73890,Petrol,Manual,Chennai,Sedan,2019,21
"2020 Honda City SV",1175000,30687,Petrol,Manual,Chennai,Sedan,2020,9
